year,observations,mean,median,p95,p99,maximum,high_risk_count,high_risk_rate_percent
2011,3631,27.438088680804185,22.4,73.7,119.41999999999989,993.4,1,0.02754062241806665
2012,5190,22.180693641618497,15.55,62.8,111.49899999999971,711.7,1,0.01926782273603083
2013,3990,48.37486215538848,36.5,111.55499999999996,219.222,1281.8,29,0.7268170426065164
2014,5282,40.20047330556607,25.8,120.58999999999996,283.14599999999865,1216.5,44,0.8330177962892843
2015,5423,50.18670477595427,31.0,141.98999999999995,456.4499999999968,1205.9,88,1.6227180527383367
2016,4382,39.581538110451845,31.1,104.08999999999996,247.4899999999996,1056.5,27,0.6161570059333638
2017,4553,48.01629694706787,38.5,122.01999999999971,341.9279999999995,1045.9,54,1.1860311882275423
2018,4502,56.17698800533096,42.2,147.78999999999996,326.96099999999916,803.4,50,1.1106175033318524
2019,3569,56.64564303726534,44.9,144.27999999999977,319.4720000000003,1302.6,36,1.0086859064163631
2020,3759,45.98180367118915,39.3,107.21,186.26800000000003,345.2,2,0.053205639797818574
2021,2431,28.751748251748253,16.9,90.0,296.36999999999836,835.9,21,0.8638420403126285
2022,4843,48.02818500929176,32.6,136.08999999999995,389.24799999999993,1259.7,71,1.466033450340698
2023,4562,68.8786716352477,38.5,274.895,427.5240000000005,1158.3,178,3.9017974572555896
2024,4378,31.6049109182275,26.5,70.71499999999996,142.4149999999998,967.1,3,0.06852444038373687
