feature_index,feature,gain,horizon,gain_percentage,rank
f5,turbidity,913.2310180664062,12h,9.546133048651031,1
f68,turbidity_change_24h,902.2750854492188,12h,9.431609134803722,2
f116,turbidity_rolling_std_6h,451.19769287109375,12h,4.716433325393952,3
f66,turbidity_change_6h,334.4466857910156,12h,3.496018528806984,4
f65,turbidity_change_3h,225.23753356933594,12h,2.354439808182834,5
f120,turbidity_rolling_mean_24h,166.7690887451172,12h,1.7432608814951753,6
f125,missingindicator_water_temperature,139.9013671875,12h,1.4624087864292665,7
f50,sp_conductance_change_6h,138.4241485595703,12h,1.4469672110937941,8
f35,do_saturation_lag_1h,131.71490478515625,12h,1.3768345366014203,9
f70,water_temperature_rolling_max_6h,130.14527893066406,12h,1.3604270154516127,10
f51,sp_conductance_change_12h,129.8168182373047,12h,1.3569935693486763,11
f52,sp_conductance_change_24h,129.169189453125,12h,1.3502238140319927,12
f49,sp_conductance_change_3h,103.11796569824219,12h,1.0779066860276896,13
f10,day_of_year,101.59225463867188,12h,1.0619582124428846,14
f67,turbidity_change_12h,97.74490356445312,12h,1.0217413072865904,15
f21,sp_conductance_lag_3h,96.868408203125,12h,1.0125791772557033,16
f20,sp_conductance_lag_1h,90.80725860595703,12h,0.9492211228995869,17
f76,water_temperature_rolling_max_24h,87.1023178100586,12h,0.9104928525327894,18
f77,water_temperature_rolling_std_24h,80.6593246459961,12h,0.8431433333433116,19
f112,do_saturation_rolling_max_24h,80.13443756103516,12h,0.8376566143757882,20
f14,month_cos,79.86261749267578,12h,0.8348152407402912,21
f103,do_concentration_rolling_max_24h,79.41476440429688,12h,0.8301337690388958,22
f61,do_saturation_change_3h,77.76465606689453,12h,0.8128849531074317,23
f108,do_saturation_rolling_mean_12h,77.62773895263672,12h,0.8114537391391307,24
f4,do_saturation,74.82613372802734,12h,0.7821681633156732,25
f46,water_temperature_change_6h,74.37723541259766,12h,0.7774757657080227,26
f121,turbidity_rolling_max_24h,74.23123168945312,12h,0.7759495681313271,27
f39,do_saturation_lag_24h,71.06610107421875,12h,0.7428640099629679,28
f69,water_temperature_rolling_mean_6h,69.47787475585938,12h,0.7262620555325005,29
f16,water_temperature_lag_3h,69.04903411865234,12h,0.7217793236733545,30
f56,ph_change_24h,68.77867889404297,12h,0.718953262256843,31
f24,sp_conductance_lag_24h,68.31642150878906,12h,0.7141212204020903,32
f119,turbidity_rolling_std_12h,67.61827087402344,12h,0.706823353032688,33
f9,month,67.37157440185547,12h,0.7042445999030204,34
f105,do_saturation_rolling_mean_6h,66.95236206054688,12h,0.6998625139832478,35
f114,turbidity_rolling_mean_6h,65.98104858398438,12h,0.6897092367776119,36
f99,do_concentration_rolling_mean_12h,64.99838256835938,12h,0.6794372898748382,37
f40,turbidity_lag_1h,64.86907958984375,12h,0.6780856675448055,38
f75,water_temperature_rolling_mean_24h,64.71453094482422,12h,0.6764701486906946,39
f122,turbidity_rolling_std_24h,63.67522048950195,12h,0.6656060894449113,40
f97,do_concentration_rolling_max_6h,63.200897216796875,12h,0.6606479211613796,41
f23,sp_conductance_lag_12h,63.19730758666992,12h,0.6606103982497511,42
f194,missingindicator_sp_conductance_rolling_mean_6h,62.9931640625,12h,0.6584764571064982,43
f78,sp_conductance_rolling_mean_6h,62.455074310302734,12h,0.6528517287902539,44
f118,turbidity_rolling_max_12h,61.391170501708984,12h,0.6417305917429094,45
f28,ph_lag_12h,61.0625,12h,0.6382949524836078,46
f102,do_concentration_rolling_mean_24h,60.79364013671875,12h,0.6354845222906439,47
f83,sp_conductance_rolling_std_12h,60.48388671875,12h,0.6322466259843349,48
f60,do_concentration_change_24h,59.169715881347656,12h,0.6185094122735456,49
f167,missingindicator_sp_conductance_change_12h,58.9404296875,12h,0.6161126512466119,50
f45,water_temperature_change_3h,57.53508758544922,12h,0.6014224114062563,51
f71,water_temperature_rolling_std_6h,57.29863357543945,12h,0.5989507241827763,52
f95,ph_rolling_std_24h,56.577125549316406,12h,0.5914086986965817,53
f48,water_temperature_change_24h,56.2980842590332,12h,0.5884918406065547,54
f64,do_saturation_change_24h,56.19658279418945,12h,0.5874308314326843,55
f100,do_concentration_rolling_max_12h,55.91268539428711,12h,0.5844632117416975,56
f36,do_saturation_lag_3h,55.64673614501953,12h,0.5816832066088532,57
f74,water_temperature_rolling_std_12h,54.515296936035156,12h,0.5698561124653646,58
f113,do_saturation_rolling_std_24h,54.38004684448242,12h,0.5684423241212736,59
f117,turbidity_rolling_mean_12h,53.960899353027344,12h,0.5640609160861958,60
f44,turbidity_lag_24h,51.8597297668457,12h,0.5420970930987352,61
f91,ph_rolling_max_12h,50.94672393798828,12h,0.5325533139847486,62
f109,do_saturation_rolling_max_12h,50.23249435424805,12h,0.5250873710866384,63
f104,do_concentration_rolling_std_24h,50.19533920288086,12h,0.5246989830321623,64
f30,do_concentration_lag_1h,49.55242919921875,12h,0.5179785537959086,65
f32,do_concentration_lag_6h,49.47011947631836,12h,0.5171181586160905,66
f93,ph_rolling_mean_24h,48.394840240478516,12h,0.5058781126181867,67
f43,turbidity_lag_12h,48.07520294189453,12h,0.5025368987092957,68
f47,water_temperature_change_12h,47.8266487121582,12h,0.4999387261769043,69
f115,turbidity_rolling_max_6h,47.58533477783203,12h,0.4974162374768944,70
f22,sp_conductance_lag_6h,46.90007400512695,12h,0.49025310965945046,71
f37,do_saturation_lag_6h,46.29851150512695,12h,0.4839648917294047,72
f84,sp_conductance_rolling_mean_24h,45.18663024902344,12h,0.4723422396347148,73
f196,missingindicator_sp_conductance_rolling_std_6h,44.408203125,12h,0.46420523076445075,74
f87,ph_rolling_mean_6h,43.966800689697266,12h,0.45959118865239007,75
f53,ph_change_3h,42.85029983520508,12h,0.4479202472420974,76
f82,sp_conductance_rolling_max_12h,42.1281623840332,12h,0.4403716422868076,77
f128,missingindicator_do_concentration,41.97489929199219,12h,0.4387695614998792,78
f38,do_saturation_lag_12h,41.53154373168945,12h,0.43413510309583786,79
f212,missingindicator_do_concentration_rolling_mean_6h,40.954376220703125,12h,0.428101889437699,80
f81,sp_conductance_rolling_mean_12h,40.42033386230469,12h,0.42251946910151617,81
f150,missingindicator_do_concentration_lag_24h,38.576263427734375,12h,0.4032431399238624,82
f176,missingindicator_do_concentration_change_24h,38.46510696411133,12h,0.40208120568162675,83
f79,sp_conductance_rolling_max_6h,38.41514205932617,12h,0.40155891546216815,84
f94,ph_rolling_max_24h,37.59471893310547,12h,0.3929829164387496,85
f89,ph_rolling_std_6h,37.552608489990234,12h,0.3925427300184867,86
f106,do_saturation_rolling_max_6h,37.52450180053711,12h,0.39224892681670237,87
f92,ph_rolling_std_12h,36.4033203125,12h,0.3805290580816825,88
f101,do_concentration_rolling_std_12h,36.14476013183594,12h,0.3778262919284605,89
f2,ph,35.908180236816406,12h,0.37535328881116153,90
f111,do_saturation_rolling_mean_24h,34.168392181396484,12h,0.3571670380981084,91
f17,water_temperature_lag_6h,33.856204986572266,12h,0.35390370117796405,92
f33,do_concentration_lag_12h,33.41373062133789,12h,0.3492784540306561,93
f200,missingindicator_sp_conductance_rolling_mean_24h,32.10633087158203,12h,0.3356120194571045,94
f215,missingindicator_do_concentration_rolling_mean_12h,31.20275115966797,12h,0.3261667728772668,95
f26,ph_lag_3h,31.13896369934082,12h,0.3254999935289177,96
f25,ph_lag_1h,30.883026123046875,12h,0.32282464183025955,97
f86,sp_conductance_rolling_std_24h,30.742319107055664,12h,0.32135381148289055,98
f29,ph_lag_24h,29.768953323364258,12h,0.3111790812204467,99
f73,water_temperature_rolling_max_12h,29.608171463012695,12h,0.3094984056845068,100
f201,missingindicator_sp_conductance_rolling_max_24h,29.563949584960938,12h,0.3090361481360969,101
f27,ph_lag_6h,29.384170532226562,12h,0.30715689226018883,102
f80,sp_conductance_rolling_std_6h,29.33787727355957,12h,0.30667298227711975,103
f55,ph_change_12h,28.86616325378418,12h,0.3017420888836559,104
f90,ph_rolling_mean_12h,28.279951095581055,12h,0.2956143302483957,105
f54,ph_change_6h,27.402599334716797,12h,0.28644324815198197,106
f1,sp_conductance,26.77157211303711,12h,0.27984703131713407,107
f19,water_temperature_lag_24h,26.64962387084961,12h,0.27857228908659115,108
f15,water_temperature_lag_1h,26.60213851928711,12h,0.2780759179878111,109
f85,sp_conductance_rolling_max_24h,26.282360076904297,12h,0.27473322868282,110
f88,ph_rolling_max_6h,26.07685089111328,12h,0.2725850120854088,111
f124,turbidity_ratio_1h,25.703060150146484,12h,0.26867772458089767,112
f62,do_saturation_change_6h,25.37139320373535,12h,0.2652107630611453,113
f110,do_saturation_rolling_std_12h,25.137638092041016,12h,0.2627672878036348,114
f63,do_saturation_change_12h,24.951942443847656,12h,0.26082618491823056,115
f34,do_concentration_lag_24h,23.522504806518555,12h,0.24588407103823454,116
f41,turbidity_lag_3h,23.22466468811035,12h,0.24277070613789348,117
f6,high_turbidity,22.1608829498291,12h,0.2316508451087977,118
f18,water_temperature_lag_12h,21.995342254638672,12h,0.22992042479894012,119
f57,do_concentration_change_3h,21.862930297851562,12h,0.22853630387913354,120
f58,do_concentration_change_6h,21.50262451171875,12h,0.22476997651554356,121
